x_test,y_true,y_pred,correct
dalam perjalanan setan sekali mreka ujungnya army katany menyentuh dulu padahal situ dh kayak anjing menggonggong me< I-PER/>lulu kayak belum kasih makan tuannya,1,1,true
kayaknya wanita dicicipi diaraktrus nyicipinya pura suci< I-LOC/>sumbar salahsatu sarangnya kadrunpersis malinkundang kandungnya cicipi jugaparahhh,4,4,true
ayo,4,4,true
iya sadar gua kena pelecehan verbal pemaksaan gila sadar gua,1,1,true
< I-LOC/>pki masuk tes wawasan kebangsaan < I-LOC/>pki mengadu domba memisahkan umat islam al < I-PER/>quran tes kebangsaatan suruh pilih < I-PER/>agama pancasilabiadab tangkap dalang tes kebangsaatan,4,4,true
pendek akal perempuan ni sedih ilmu < I-PER/>agama cetek macam ni,4,4,true
anjing benar aku,1,1,true
ih bodoh sekali,1,1,true
wkwkwkudah mikir pemimpin daerah lainmalu anis baswedan anis gembar gemborkan tuduh intoleran kebalikanyaemang hrs begitu pemimpin pilih kasih warganya,3,4,false
perkuat iman warga binaan rutan < I-LOC/>pasangkayu gelar ceramah < I-PER/>agama ramadhan,4,4,true
cayah anak kunyuk koma di< I-PER/>hajar pacar < I-PER/>agnes anak penzina ta,4,4,true
ngurusi pezina pelaku pesan mesum kau puja imam fahim mawardikyai cabul jember kau anggap ulama dasar dunia kadal gurun,2,2,true
tingkatkan keimanan ramadhan rutan < I-LOC/>pasangkayu gelar ceramah < I-PER/>agama,4,4,true
anjing,1,1,true
dumdum melanggar ham pelecehantangkap orang main hakim,4,4,true
orang bodoh,1,1,true
tingkatkan kerohanian wbp rutan < I-LOC/>pasangkayu gelar kegiatan ceramah < I-PER/>agama,4,4,true
triasari muslim terlepas muslim orang paham < I-PER/>agama as mos< I-PER/>leem aku < I-PER/>agama islam < I-PER/>agama diterima tuhan as human aku percaya nilai < I-PER/>agama,2,4,false
kadey kadey dik serabut mikir nyo mari sakit palo lamo lamo demo duk takey tokleh okk doh pon kito,3,3,true
anjing l< I-PER/>agu raya remix ni,1,1,true
news demo,3,3,true
idn apa-apaan please go to hell for him pemuka < I-PER/>agama gitu aware ka,4,4,true
anjing sender kamu maju ribut babi,1,1,true
wkwkwkwkwkwkwkwk anjing banget,1,1,true
orang orang dikasih amanah ngapa kek tai anjinggitar temen gua ilang anjing,1,1,true
hdh bodoh,1,1,true
kaum liberalsekuler media mengajari perbedaan rasis islamophobia rasis antisemit anti china komunis,2,2,true
kunci perempuan kunci otak kamu goblo banget sangean kejadian pemerkosaan pelecehan control your kntl njir wanita udah nolak tetep ten< I-PER/>aga gedean pria wanita dibunuh karna pemerkosaan kek hewan manusia sangean,1,1,true
halahh kontol pas parak raya ja bodoh,1,1,true
ongko bahrawi kayak begini perha< I-PER/>tian investor pabrikusaha < I-LOC/>indonesia teroris pendukungnya bebas < I-LOC/>indonesia pendukung teroris mah enak tinggal nyalahin pemerintah khilafah atau < I-PER/>agama versinya solusi,4,4,true
< I-LOC/>korsel cantik hidup idol juga bullying warga rasis abiiiisss pokoknya begitu,4,4,true
skip < I-PER/>agama seh,4,4,true
bela fandom udah kaya bela < I-PER/>agama waras,4,4,true
id < I-PER/>aguero semenjak pensiun kayak anjing,1,1,true
semangat ayo loyo,4,4,true
iyah tahun mmh jepang berurusan sama polisi s< I-PER/>ono laporan pencurian gercep penanganannya bukti wna resmi < I-LOC/>tpi case amerika terkenal rasis orang asia ceritanya beda,2,4,false
apasih jancok p< I-PER/>agi p< I-PER/>agi orang bodoh,1,1,true
biarkan demo hak dilarang,3,3,true
aksinya pedemo melepaskan tikus putih hidup tikus masuk lobi gedu,4,4,true
kadal gurun mengamuk,2,2,true
< I-PER/>diem doang ngalah setuju debat ngobrol orang bodoh,1,1,true
percaya < I-PER/>agama direnungin,4,4,true
opik iya ditipu ped< I-PER/>agang < I-PER/>agama bani < I-LOC/>yaman cium kaki ditipu ped< I-PER/>agang < I-PER/>agama jualan < I-LOC/>palestina dibohongi foya ketua bininya bodoh tidak,4,4,true
ayo,4,4,true
enjeull asmara buzzer rp < I-PER/>yohanes pembaptis palsu narasi prestasi prediksi skor togel,3,3,true
kadal gurun naaah depanku,2,2,true
banget anjing tidur fak men maderfaker,1,1,true
alfatih marm pantes < I-LOC/>indonesia dijajah isinya orang bodoh kayak kamu,1,1,true
< I-LOC/>suai lahapakah kaum buzzer cebongers didalamny,3,3,true
ceramah diskusi < I-PER/>agama tingkatkan iman taqwa wbp rutan < I-LOC/>pasangkayu,4,4,true
anjing,1,1,true
kelas pidana saya kadang suka unik tahu pacar usia tahu pacaran dari sama hubungan seksual masuk seb< I-PER/>agai perbuatan pidana kadang ada semangat tidaak,4,4,true
lingkungan atasan adminnya kerjaan giliran bawaan disalahin ditambah pelecehan sksul,1,1,true
kadal gurun kerjaan ku cape butuh ten< I-PER/>aga kuat p< I-PER/>anasan centeng turunbolak mainan ama becek haduuuuhhh g< I-PER/>ag cocok < I-PER/>eneng,4,4,true
ayo main game capsa susun qiuqiu gaple dll bersamaku chip gratis tunggu ambil klik link,4,4,true
kunjungannya pasar legi solo presiden < I-PER/>jokowi didampingi gubernur < I-LOC/>jateng < I-PER/>ganjar < I-PER/>pranowo memakai baju selara,4,4,true
< I-LOC/>bangor achilles palungmariana sd zaky ogah sekali malesin ikut akun kaum bani kadal gurun bin kampret,2,2,true
kuhilang cuitan caption rasis kok dikatakan bawa perasaan dasar kecebong rasis,2,2,true
capek aku ai fandom tukang provokasi kamu k< I-PER/>aga dukung yuta memperkeruh suasana pakai nyudutin penggemar deh misinterpreted maksud protesnya ai dr< I-PER/>agging aku cuma yuta keadilan,1,1,true
kajian ke< I-PER/>agamaan < I-PER/>agama islam tanggal senin april wita selesai tema niatku kekuatanku pemateri ustadz irfan maulan lokasi musholla naval ltground,4,4,true
follawers wajib paham memviralkan perbuatan kejahatan dituntut penghinaan danatau pencemaran nama ba,4,4,true
bahrawi pkb ppp politisasi < I-PER/>agama lambang < I-ORG/>partainya menunjukan politisasi < I-PER/>agama politik identitas,4,4,true
calm orang logikanya somplak china rampas kedaulatan nkri kadal gurun,2,2,true
kadal gurun ko percaya,2,2,true
< I-LOC/>boyolali jawa presiden < I-PER/>joko widodo gubernur jawa < I-PER/>ganjar < I-PER/>pranowo mengecek harga bahan pokok pasar legi jalan letjen parman kota solo,4,4,true
coba memutuskan pindah pelajari < I-PER/>agama islam kayak belajar < I-PER/>agama kristen kedalaman lihat islam orangnya tapi ajarannya maaf tapi dirimu diriku islamnya keturunan pilihan coba scr sadar pelajari islam dulu,4,4,true
met p< I-PER/>agi ayo bonding paimun,4,4,true
p< I-PER/>agi bodoh,1,1,true
sapiens iman beriman menemukan tuhan delusional iman dtg dari tuhan < I-PER/>agamamu datangnya dari tuhan salah atheis salah tuhanmu kalau salah tuhanmu mau apa kamu bacot kamu udah cari tuhan lihat mukanya,2,4,false
hahahahakasihan deh kamu anak yatim kelakuannya anjing,1,1,true
anjing,1,1,true
penampakan perempuan perempuan < I-LOC/>iran mall < I-LOC/>teheran bayangkan perempuan < I-LOC/>iran paska demo besaran kema< I-PER/>tian mahsa amini,3,3,true
< I-LOC/>nusantara owhh negara milik golongan yaokeh,4,4,true
kenapa aku malas open atas pelecehan orangtua aku wkwkk aku juga nyepelein kayak begini,1,1,true
ayo dukung densus membasmi teroris kadal gurun kroninya,2,2,true
duhkenang kuliah masjid < I-LOC/>ugm alihalih simpati < I-PER/>ganjar < I-PER/>pranowo dirujak warga internet lombok insider,4,4,true
ril anjing,1,1,true
diadili seadil adilnya sudah korban mati < I-PER/>diem dituduh pelecehan seksual < I-PER/>agnes pantes dibuka sex recordnya dibutuhkan korban korban sudah sakit sakit dari dibocorkannya sex record < I-PER/>agnes,1,1,true
ustazah tu cakap in marri< I-PER/>age ni sometimes mak ajar so isterisuami kena ajar belajar kena orang diajar bodoh sombong tunggang < I-PER/>agama jugak,4,4,true
tujuan belajar ilmu < I-PER/>agama mencari keridhoan allah taala,4,4,true
menfess ni komen bodoh sekali anjrit udah jeno orang < I-PER/>agama jeno,4,4,true
kbf kimia elin menit bengong menit sokan ngerjain menit inget b< I-ORG/>brpa terus ngerjain menit lupa nebelin pensil banyak omong berbelit belit anjing,1,1,true
berjalan bareng < I-LOC/>indonesia < I-PER/>pranowo,4,4,true
relawan < I-PER/>anies kasih kendor ayo bongkar kebusukan rezim benalu bangsa kera< I-LOC/>kusannya dalam menimbun kekayaan korupsi kelewat batas sendi pemerintahan terindikasi korupsi kejahatan menang,4,3,false
typoultra konservatif india istarl dikuasai kelompok ultra konservatif sangat rasis jahat minoritas < I-LOC/>afganistan ayo rukun,4,4,true
ayo brader tunjukkan bersih sucinya < I-ORG/>republik < I-LOC/>indonesia masamu masak takut ma < I-PER/>anas,4,4,true
demokrat menorma< I-PER/>lisasi perampokan shoplifting alasan woke culture orang melawan peraturan didak,4,4,true
tidur nyenyak anjing aku cape malam batuk terus,1,1,true
perkuat iman warga binaan rutan < I-LOC/>pasangkayu gelar ceramah < I-PER/>agama ramadhan,4,4,true
buron narkoba muncul publik dilantik pejabat negara bodoh pisan statusnya buron kayanya malas nyari polisinya,4,1,false
pelecehan korban speak atas memilih menyembunyikan kotor salah kotor pelecehan marak mengganggap enteng pelecehan,1,1,true
lantang mas < I-PER/>anas menyebut skenario menyelesaikan karir politik < I-PER/>anas menje,4,4,true
mau apa belok < I-LOC/>bekasi anjing,1,1,true
halang kenderaan gangguan seksual perbuatan pemandu ke< I-PER/>lisa undang kemarahan warga internet,4,4,true
puan setali uang < I-PER/>jokowi menuntut hak laksanakan kewajiban bengis ab,4,4,true
unik heran apapun < I-PER/>agamanya dimanapun tempatnya < I-PER/>agama mayoritas otomatis show atas,4,4,true
kya bisaaa ayo < I-ORG/>reply,4,4,true
asmara warga bogorkerja jakarta saksi bgmn monas era < I-PER/>aniesyang berita bergaunggaungnya kencang suara buzzerharusnya team medsosnya < I-PER/>anies kencang suaranyajgn kalah coba stigma negatif,4,4,true
thread b< I-PER/>agus misteri menerima cinta tuhan menerimanya < I-PER/>agama mengajarkan sibuk berteduh membentengi darinya bersyukur menulis bahasa < I-LOC/>indonesia dimana tuhan multitafsir universal,4,4,true
sok ngide ngewarnain rambut eh kek tante girang anjing,1,1,true
kritik dikit kadal gurun heran aslinya mah pendukung < I-PER/>jokowi kocak aslinya,2,2,true
gaji dibayar ratusan perangkat desa demo,3,3,true
logo rasis logo,2,2,true
orang tipe begini bertindak nama < I-PER/>agama kelakuannya buruk setan,2,4,false
gua sisanya kamu anjing,1,1,true
bismillah yok semangat cari uang puter otak ditakdirkan istrinya < I-PER/>jeff bezos mark zcberg ayo inget t< I-PER/>agihan lebaran butuh duit,4,4,true
sndiri sender sudah dewasa kaya begini ditanyain disosmed karna han,4,4,true
wiiihh mantap ayo pendukungsi< I-PER/>anies serbu donk lapak aku katain < I-PER/>prabowo donk,4,4,true
dijamin masuk surga < I-PER/>agama verifikasi sebatas klaim menuntut iman pokoknya percaya,4,4,true
bully diserang dipojokan arah hina cinta dapatkan cacian,4,4,true
id < I-ORG/>republik < I-LOC/>indonesia yantie < I-PER/>nakula demo orangorang ituh,3,3,true
kampanye capres < I-PER/>anies baswedan dikotori hoaxhoax bombastis teranyar bem bikinan < I-PER/>anies baswedan kuliah < I-LOC/>ugm memimpin demo ribuan orang allah buka < I-PER/>anies,3,3,true
t< I-PER/>agih kontrakan emosi bodoh,1,1,true
exe ayo,4,4,true
statement tk puas hati ii individu tu tolong libatkan kaum < I-PER/>agama negeri bla bla bla bleh ii sakit hati ap ii tk kena pergi hadap ii la bara dalam uc ja brani ckp,4,4,true
ayo,4,4,true
meliala udahlah kadal gurun biarin,2,2,true
udien tindakan diluar batas tindakan bertentangan ajaran < I-PER/>agama,4,4,true
pede sekali anjing akun chart mah dimana update cok surpassing pick me behavior fear,1,1,true
dasar buzzer gblk,3,3,true
ayo,4,4,true
buibu insecure anaknya seumuran < I-PER/>gemas tapi belum kayak anak unik prosesnya masi,4,4,true
untung kali ekspek apaapa < I-PER/>lulu sempet kepikiran sadam < I-PER/>lulu adiknya wafda b< I-PER/>agaimana anjing ud b< I-PER/>agaimana b< I-PER/>agaimana yaudah,1,1,true
pemeluk < I-PER/>agama islam sayang kehilangan saudara se< I-PER/>agama,4,4,true
jenayah seksual masyarakat ketetapan tarikh april rabu p< I-PER/>agi p< I-PER/>agi pla< I-PER/>tform live fb p< I-PER/>age pejabat pembangunan wanita negeri pulau pinangppwnpp,4,4,true
ayo nangis bareng,4,4,true
tingkatkan keimanan ramadhan rutan < I-LOC/>pasangkayu gelar ceramah < I-PER/>agama,4,4,true
bodoh kadal gurun emang bodoh,2,1,false
dumdum < I-LOC/>pki kadal gurun,2,2,true
habis colmek yaaa coba kamu anjing anus < I-PER/>yohanes berpestai pungsi tugu bambu mesum,1,1,true
abang ayo ngobrol,4,4,true
ni tanda kebesaran tuhan rencana allah kontol ak saja kek anjing bawa takdir,1,1,true
askrl tau pelecehan coba baju wanita coba goa,4,4,true
tertawa anjing sekarang k< I-PER/>agof pacar aku sampe tua k< I-PER/>agof doang,1,1,true
barangkali hasil revolusi mental digembar gemborkan regim buzerpnya berkedok < I-PER/>agama bersorban mengaku < I-PER/>sayidina umar bin khatab sejatinya islamphobia heran keturunannya pezina hedonis adab,4,4,true
ansori kritik internal pemerintahan lampung aspeknyatapi laporan penghinaan suku b< I-PER/>agaimana kamu bro,1,1,true
anjing persetan sudah ajg gua pasrah matmit tol,1,1,true
marah berbalut < I-PER/>agama khan bebas hujatan jerat hukum,4,4,true
heran pelecehan seksual terhadap anak marak banget difasilitasi begini sakit jiwa kamu anjing,1,1,true
mak < I-PER/>ganjar sumatera utara bersilaturahmi memperkenalkan sosok < I-PER/>ganjar < I-PER/>pranowo pilih presiden,4,4,true
yaudah biarin yaudah senyumin yaudah lupain yaudah biasain yaudah lepasin semudah bacot kamu kalii,3,3,true
< I-PER/>agama sudah ajar sudah kahwin tupuasa payah sangat,4,4,true
apapun berusaha melawan manipulasieksploitasi seksual dilabelin peyoratif sjw,4,4,true
< I-PER/>neno warisman ratna < I-PER/>sarumpaet orang laskarwati kadal gurun militan pilpres pendukung < I-PER/>anie,2,2,true
ceramah diskusi < I-PER/>agama tingkatkan iman taqwa wbp rutan < I-LOC/>pasangkayu,4,4,true
bahrawi cukong koruptor berani disentuh udah hehehe rasis kok statement begitu bang,4,4,true
gl menciptakan windows orang kristen shortcut bayangkan menciptakan < I-PER/>agama sebelah betapa ruwetnya aplikasi komputer,4,4,true
semangat ayo loyo,4,4,true
hidup kalau tidak sedih sedih sekali anjing,1,1,true
negara bebersih disemua lemb< I-PER/>aganya terkena virus kadal gurun masukan,2,2,true
sebel tu kek yaudah afk anjing maksud kamu k< I-PER/>agak make wanwan mah lebih baik cari hero anjrittttttt bego banget hadehhh fakyu,1,1,true
ketoknya gerombolan cari panggung loossss firly gaassskkkeeeennnnn formula kelompok kadal gurun gerombolan kuat menyerangberarti jalan firly,2,2,true
bahrawi fz politikus partai suka bersuara islamofobia teroris ditembak giniujungnya densus dibubarkan,4,4,true
nder kayaknya < I-PER/>agama tidak ada campur tangan setan deh hati allah allah membolak balikkan hati kek kamu gara pria,4,4,true
< I-PER/>tikadrun kebenaran berdasarkan versi kadal gurun cebong berdasarkan prinsip murah kebenaran disandarkan golongan kadruncebong kampret istilah bersifat mengolok bagi< I-PER/>loe kayaknya begitu,2,2,true
dorang kejar tu nak gigit just nak kejar je anjing nak gigit tu dorang takkan kejar dorang speed atas and gigit macam tu,1,1,true
ditembakmodarrr ya koruptor anjing,1,1,true
nazaruddin otaknya bro< I-PER/>anas salah terjebak pusaran hambalangcontoh sadar terjebak kelompok radikalakibat salah pilih temanmenteror pemerintah narasi kebencianhidup santai tong provokator,3,3,true
chotimah alhamdulillah isu dimainkan kadal gurun identitas elektronik wadas dll mempan politik identitas,2,2,true
manusia bodoh,1,1,true
cebong buzzer dungu saja dikibulin,3,3,true
anjing sick sekali otak gws deh dek,1,1,true
thanks mba udah mengakui kesalahan semoga allah mudahkan belajar < I-PER/>agama islamnya rekomendasi channels b< I-PER/>agus belajar semoga membantu,4,4,true
sender bingung nanya base kristen pendetanya islam ustadnya masingmasing pemuka < I-PER/>agama sender berharap nanya modelan begini base hadeh aneh sekali,4,4,true
kristen < I-PER/>agama kak,4,4,true
iyey meni geleh kitu perkataan anjing aku hayang < I-LOC/>utah meni berlebihan sia kontol lalaki teh sia lalaki atawa awewe,1,1,true
kamu doang p< I-PER/>agi p< I-PER/>agi emosi aku anjing,1,1,true
bodoh orang inipelanggaran maksud< I-PER/>ganjarkan label capresbeda kalau < I-PER/>anies dicapreskanpintar dikit,3,3,true
bahrawi bacot kamu kayak orang benar,1,1,true
pas ramadhan warung dilarang buka lebaran thrnjing anjing kurap,1,1,true
tingkatkan kerohanian wbp rutan < I-LOC/>pasangkayu gelar kegiatan ceramah < I-PER/>agama,4,4,true
geh ancur banget ditiktok orang lampung speak atas wkwkwkw makasih mas bima < I-LOC/>indonesia jalanan lampung,3,4,false
darting baca freya kek anjing karakter kesel sekali tot,1,1,true
why is token listrik mahal anjing,1,1,true
adek tidak kuliah aku urusin aku anterin butuh ngeprint hujanhujan aku cariin printangiliran aku mintain tolong pas ke< I-ORG/>repotan tidak anjing emang kapok sekaratpun tidak aku tolong,1,1,true
bodoh,1,1,true
adek kamu resah orang begoo memang sekeluarga bodoh b< I-PER/>agaimana sig,1,1,true
harga rumah sek demo,4,3,false
ganteng beda < I-PER/>agama orangnya lucu gemesin diajak ngobrol nyambung cuek candu percaya zodiak iya virgo pisces jodoh percaya risi banget ngobrol ngmngin zodiak mulu,4,4,true
pilpres orang musuh kubu < I-PER/>prabowo musuh umat islam garis lurus pelecehan hinaanya detik tapi kok bergabung diterima < I-PER/>prabowo kualitas manusia,4,4,true
takut kena demo kali,3,3,true
bodoh merinding,1,1,true
giliran aku sudah mimpi alias tdr ni driver sfood sudah jam anjing aku nunggu,1,1,true
wan na see buzzer beater,3,3,true
bodoh bodoh bodoh bodoh,1,1,true
ih bodoh,1,1,true
kaka ku nyebelin sekali anjing,1,1,true
caur caur tingkah laku anak mahasiswa menghina dosennya yaww hahaha bisa nimbrung tmpt undang juga mbanya demo ls juga hak idolny juga speak atas suka xixi lebih baik dateng kuliah benar bljr jan masuk kuping kiri kuping kanan,3,4,false
alien rakyat < I-LOC/>indonesia tertipu < I-PER/>jokowi luhut bodoh luhut pandai menipu,1,1,true
< I-PER/>muhaimin iskandar puan mahal < I-PER/>erick thohir,4,4,true
dikasih gila anjing bat,1,1,true
keliatan banget anjing boti problematik,1,1,true
kadal gurun nuntut thr drun,2,2,true
pakar keuangan negara negara kadal gurun kebanyakan bacot bersalah takut ada,2,2,true
orangorang < I-PER/>agamis orang orang malas ber< I-PER/>agama benar lha klakuannya,4,4,true
diorang suruh demo pakai tudung cermin jeles kat surau laju mata hahahahahah,3,3,true
untung dikatain bodoh walah bodoh asu,1,1,true
yaallah gua baca p< I-PER/>agi p< I-PER/>agi anjing,1,1,true
bodoh anying sumpah,1,1,true
kadal gurun tolonglah sama orang,2,2,true
wb kadal gurun bodoh,2,2,true
berjuang membela mantan koruptor mencicipi uang hasil korupsinyasebab balas budi manfaatkan ntk menyerang kualitas pendidikan rendah kurangnya wawasan mudah provokasi,3,3,true
salah translate emang orang s< I-PER/>ono misogini patriarki rasis orang speechnya pemenang oscar dicut pas women empower tidak denial napa,2,4,false
ayo thank you for,4,4,true
p< I-PER/>agi kesayngan exo sehun mari ademkan tl drop vidio kesayangan hesteg birthday ur,4,4,true
orang nanya kayak begini base caper memang bodoh beneran tidak tahu,1,1,true
chan < I-PER/>diem anjing kasian habis digigit kutu kasur dituduh bukti,1,1,true
moa stay anakanak thank but kamu meinggalkan anakanak jauhjauh kamu anjing tidak perlu bangsat,1,1,true
usul pengurus organisasi diisi lintas < I-PER/>agama kepercayaan perwakilan ormas islam nu,4,2,false
hr kampus aku juga kampus demo perihal uu cipta kerja,3,3,true
memang dsrnya pikirannya kotor manada juga maling mengaku begini dbebasin hahaha memang sudah dukung pelecehan seksual kaya sepele amet ksian korban trauma banget psti perna mikir,1,4,false
ns raaa foto rs drvgs dimana besi meja nampan besi fandom kamu bodoh banget sampe ngira drvgs akibat kebanyakan haluin oppa,1,1,true
udah kamu bangga kafir bilangin sohibmu sewot kafir nyerang ajaran < I-PER/>agama muslim juga bisa nyerang < I-PER/>agama kamu tapi lakukan dalam islam perbolehkan,4,4,true
one istri < I-PER/>ganjar kadal gurun coba cek,2,4,false
sudah jawapan share nak cakap pasal perlekehkan tu tepuk muka sekor melayang jugak kopiahtudung sekor kau title orang percaya kau ilmu ilmu orang tu explain la dgan perlekeh bodoh,1,1,true
buzzer berkuasa oposisi ajaaaaa,3,3,true
ali memiliki catatan hitam warga wadas kendeng saksi hidup slogan tuan ku rakyat omong kosong,4,4,true
pegl k< I-PER/>onoha terbentuk circle buzzer penjilatteam suksesdiangkat pejabatkorupsimasuk penjarajilat circle oligarki bah< I-PER/>agia circle,3,4,false
kadrunkadrun,2,4,false
< I-PER/>hasibuan bangsat playing victim membalikan fakta wanita kaya begini pria begini begitu pria salah anjing anjing,1,1,true
ayo join grup premium terbaik promo menarik info lengkap klik link,4,4,true
redsindo tipu sudah penggemar club anjing emang,1,1,true
watak asli kadal gurun,2,2,true
dasar otak buzzer,3,3,true
munafik kadal gurun namanya,2,2,true
kunjungi pasar selo < I-PER/>ganjar < I-PER/>pranowo presiden < I-PER/>jokowi disambut antusias ped< I-PER/>agang disana,4,4,true
buzerrp sampah dunia ahherat buzerrp tukang bohong palsu buzerrp penista < I-PER/>agama penyjilat buzerrp pengangguran bodoh buzerrp pecinta porno kulup buzerrp tukang mesum jinah buzerrp cari bodok memfitnh buzerrp bodoh bodoh dungu buzerrp lgbt smua pecinta dubur,3,1,false
candaan anggap lucu fisik < I-PER/>agama pelecehan seksual tongkrongan kamu candaan cok kamu keren samsek,4,4,true
hsjshhshssh ayo,4,4,true
ayo,4,4,true
mbaksri pelecehan kaum hawa haram manusia normal,1,4,false
sendernya < I-PER/>agama tertarik < I-PER/>agama dideketin penganut < I-PER/>agama komen sepert,4,4,true
bacot waw p< I-PER/>agi p< I-PER/>agi,1,4,false
yyyyaaahhhhh bodoh,1,1,true
eeee bodoh anyg,1,1,true
rutan < I-LOC/>pasangkayu giatkan ceramah < I-PER/>agama warga binaan ramadhan,4,4,true
meta subekti pemberian insentif pemprov < I-LOC/>jateng kpada sb< I-PER/>agai pengajar < I-PER/>agama budha patut,4,4,true
biarkan demo hak dilarang,3,3,true
manusia asu densus menangkap teroris isis ji afiliasinya < I-LOC/>papua kadal gurun asu rela saudaranya ditangkap densus,4,2,false
provokator menyerang < I-PER/>anies,3,3,true
blink pantek bermasalah unnik kamu mau apa bawa bangtan aku anjing emosi banget,1,1,true
s< I-PER/>agat memalukan kelakuan kadal gurun pura pura ibadah < I-LOC/>tpi niatnya maling,2,2,true
anjing kenapa sentuh sentuh ak,1,1,true
nga bawa bawa < I-PER/>agama onta bego,2,4,false
kamu kaya benar fell harder virtual without having aduh anjing anjing strees gua cok,1,1,true
kaya anjing,1,1,true
malu buzzer idealisme,3,3,true
sakit hati playlist di< I-ORG/>report manusia manusia anjing ckck allah aku lupain,1,1,true
giliran diusik ribut penistaan persekusi embuh,4,4,true
jonan kadal gurun yak,2,2,true
berkualias < I-PER/>rizal ramli provokator pantes fitnah gaduh negeri jeon jung< I-PER/>kook jung< I-PER/>kookie < I-PER/>gemas komentar lampung bima,3,3,true
kadal gurun tidak mh bnyak malas aje ngider nyari jajanan aye tinggal bogor lupa jajanan bogor yak,4,4,true
besepah komen rasis drp kaum tucuma ramai pandai baca tu< I-PER/>lisan,4,4,true
kamu emng bodoh nderr kesalahan kamu dasar goblokkk mikirrr jancokk,1,1,true
bunuh masaltapi malutapi demo teriak pemilu curang anarkis,3,3,true
< I-LOC/>bangor waspada < I-LOC/>pki berkedok sosialis atheis hti < I-PER/>fpi ji berkedok < I-PER/>agama islam < I-LOC/>pki hti < I-PER/>fpi ji radikalis pendukung anggota teroris menghancurkan < I-LOC/>indonesia ideologi pancasila,4,2,false
kadal gurun lebaran mo pakai baju kebawahnya tidak pakai salaman jendela,2,2,true
